subject,seed_dir,control,metric,k,value,k80,k90,k95,original_heldout_event_nll,reconstructed_heldout_event_nll,nll_loss
epilepsiae_1146,seed_20260725,full_history_gru,pca_reconstruction,32,0.9999999999999984,2,3,4,2.095409149248377,2.095409147604365,-1.644012037615994e-09
epilepsiae_1146,seed_20260725,rank_shuffle_gru,pca_inventory,-1,1.1647893732763202,1,1,2,2.179362011624258,,
epilepsiae_1146,seed_20260725,rank_shuffle_gru,pca_reconstruction,0,0.0,1,1,2,2.179362011624258,2.194969955537468,0.01560794391321041
epilepsiae_1146,seed_20260725,rank_shuffle_gru,pca_reconstruction,1,0.9269116208319723,1,1,2,2.179362011624258,2.180757779222513,0.0013957675982552153
epilepsiae_1146,seed_20260725,rank_shuffle_gru,pca_reconstruction,2,0.9691226414112951,1,1,2,2.179362011624258,2.1803065134288193,0.000944501804561515
epilepsiae_1146,seed_20260725,rank_shuffle_gru,pca_reconstruction,4,0.9902205460168586,1,1,2,2.179362011624258,2.1797731307868062,0.0004111191625484345
epilepsiae_1146,seed_20260725,rank_shuffle_gru,pca_reconstruction,8,0.9984311555901298,1,1,2,2.179362011624258,2.179415000118823,5.298849456503163e-05
epilepsiae_1146,seed_20260725,rank_shuffle_gru,pca_reconstruction,16,0.9998664946002667,1,1,2,2.179362011624258,2.179375828691051,1.3817066793375687e-05
epilepsiae_1146,seed_20260725,rank_shuffle_gru,pca_reconstruction,32,0.9999999999999987,1,1,2,2.179362011624258,2.179362008746373,-2.8778845972965428e-09
epilepsiae_1150,seed_20260725,full_history_gru,pca_inventory,-1,2.0492344757609517,2,3,4,1.5387313450992017,,
epilepsiae_1150,seed_20260725,full_history_gru,pca_reconstruction,0,0.0,2,3,4,1.5387313450992017,1.7629196249250894,0.22418827982588763
epilepsiae_1150,seed_20260725,full_history_gru,pca_reconstruction,1,0.5754732851248754,2,3,4,1.5387313450992017,1.6912775881385969,0.15254624303939512
epilepsiae_1150,seed_20260725,full_history_gru,pca_reconstruction,2,0.8204927794609922,2,3,4,1.5387313450992017,1.5594221451944357,0.02069080009523394
epilepsiae_1150,seed_20260725,full_history_gru,pca_reconstruction,4,0.9433381213181522,2,3,4,1.5387313450992017,1.5403394340932381,0.0016080889940364163
epilepsiae_1150,seed_20260725,full_history_gru,pca_reconstruction,8,0.9874698683587729,2,3,4,1.5387313450992017,1.5397536396826328,0.0010222945834310604
epilepsiae_1150,seed_20260725,full_history_gru,pca_reconstruction,16,0.9977133181921655,2,3,4,1.5387313450992017,1.5391673254311447,0.0004359803319429201
epilepsiae_1150,seed_20260725,full_history_gru,pca_reconstruction,32,0.999999999999999,2,3,4,1.5387313450992017,1.5387313495947907,4.495589012165624e-09
epilepsiae_1150,seed_20260725,rank_shuffle_gru,pca_inventory,-1,1.3679444190301402,1,2,3,1.5907633339073701,,
epilepsiae_1150,seed_20260725,rank_shuffle_gru,pca_reconstruction,0,0.0,1,2,3,1.5907633339073701,1.7063995993315533,0.11563626542418315
epilepsiae_1150,seed_20260725,rank_shuffle_gru,pca_reconstruction,1,0.7928950842935637,1,2,3,1.5907633339073701,1.6504062955603986,0.059642961653028514
epilepsiae_1150,seed_20260725,rank_shuffle_gru,pca_reconstruction,2,0.8599081836310738,1,2,3,1.5907633339073701,1.6477368814790063,0.056973547571636196
epilepsiae_1150,seed_20260725,rank_shuffle_gru,pca_reconstruction,4,0.9832837546150671,1,2,3,1.5907633339073701,1.5901991877114887,-0.0005641461958814098
epilepsiae_1150,seed_20260725,rank_shuffle_gru,pca_reconstruction,8,0.9969903168030653,1,2,3,1.5907633339073701,1.5901574363720945,-0.0006058975352756235
epilepsiae_1150,seed_20260725,rank_shuffle_gru,pca_reconstruction,16,0.9996167927643699,1,2,3,1.5907633339073701,1.590802314032781,3.898012541081464e-05
epilepsiae_1150,seed_20260725,rank_shuffle_gru,pca_reconstruction,32,0.9999999999999984,1,2,3,1.5907633339073701,1.5907633307282105,-3.1791596022401336e-09
epilepsiae_139,seed_20260725,full_history_gru,pca_inventory,-1,2.3040312266140033,2,3,4,1.535237808854781,,
epilepsiae_139,seed_20260725,full_history_gru,pca_reconstruction,0,0.0,2,3,4,1.535237808854781,1.7072876605688005,0.17204985171401965
epilepsiae_139,seed_20260725,full_history_gru,pca_reconstruction,1,0.5882294615241002,2,3,4,1.535237808854781,1.5777836178584197,0.0425458090036388
epilepsiae_139,seed_20260725,full_history_gru,pca_reconstruction,2,0.8616941226630261,2,3,4,1.535237808854781,1.559363650535656,0.02412584168087517
epilepsiae_139,seed_20260725,full_history_gru,pca_reconstruction,4,0.9630169567978332,2,3,4,1.535237808854781,1.5309321769156443,-0.004305631939136578
epilepsiae_139,seed_20260725,full_history_gru,pca_reconstruction,8,0.9905303349690279,2,3,4,1.535237808854781,1.5333811619290219,-0.0018566469257590423
epilepsiae_139,seed_20260725,full_history_gru,pca_reconstruction,16,0.9987480400140611,2,3,4,1.535237808854781,1.5346784273859848,-0.000559381468796083
epilepsiae_139,seed_20260725,full_history_gru,pca_reconstruction,32,0.9999999999999984,2,3,4,1.535237808854781,1.5352378263784103,1.752362943641117e-08
epilepsiae_139,seed_20260725,rank_shuffle_gru,pca_inventory,-1,1.316886308116363,1,2,3,1.4899228794377446,,
epilepsiae_139,seed_20260725,rank_shuffle_gru,pca_reconstruction,0,0.0,1,2,3,1.4899228794377446,1.6434177563636185,0.15349487692587394
epilepsiae_139,seed_20260725,rank_shuffle_gru,pca_reconstruction,1,0.8726833572439149,1,2,3,1.4899228794377446,1.5094786401572406,0.01955576071949605
epilepsiae_139,seed_20260725,rank_shuffle_gru,pca_reconstruction,2,0.9449545605498919,1,2,3,1.4899228794377446,1.5043061561382467,0.014383276700502101
epilepsiae_139,seed_20260725,rank_shuffle_gru,pca_reconstruction,4,0.9919171494346448,1,2,3,1.4899228794377446,1.490195605942433,0.0002727265046884586
epilepsiae_139,seed_20260725,rank_shuffle_gru,pca_reconstruction,8,0.9988705457381997,1,2,3,1.4899228794377446,1.4899793604355371,5.648099779254068e-05
epilepsiae_139,seed_20260725,rank_shuffle_gru,pca_reconstruction,16,0.9999167498794609,1,2,3,1.4899228794377446,1.4898936475519475,-2.923188579706526e-05
epilepsiae_139,seed_20260725,rank_shuffle_gru,pca_reconstruction,32,0.9999999999999989,1,2,3,1.4899228794377446,1.4899228826627564,3.2250118131571526e-09
epilepsiae_253,seed_20260725,full_history_gru,pca_inventory,-1,2.348332211572877,3,4,5,1.5877046598951676,,
epilepsiae_253,seed_20260725,full_history_gru,pca_reconstruction,0,0.0,3,4,5,1.5877046598951676,1.7811428722780716,0.19343821238290393
epilepsiae_253,seed_20260725,full_history_gru,pca_reconstruction,1,0.592277122236897,3,4,5,1.5877046598951676,1.6650211510253101,0.0773164911301425
epilepsiae_253,seed_20260725,full_history_gru,pca_reconstruction,2,0.7848387632342895,3,4,5,1.5877046598951676,1.614613578973299,0.02690891907813131
epilepsiae_253,seed_20260725,full_history_gru,pca_reconstruction,4,0.9378468399995384,3,4,5,1.5877046598951676,1.58706294228794,-0.0006417176072275321
epilepsiae_253,seed_20260725,full_history_gru,pca_reconstruction,8,0.9812505880180398,3,4,5,1.5877046598951676,1.5870728136262477,-0.0006318462689198778
epilepsiae_253,seed_20260725,full_history_gru,pca_reconstruction,16,0.9969476236321315,3,4,5,1.5877046598951676,1.587384027556956,-0.00032063233821166826
